price,artist,title,image,source
680.0,Stephen Hartman,Untitled,51.png,orig
680.0,Ron Davis,Two Bar,52.png,orig
5000.0,Robert  Motherwell,Blue Gesture (Octavior Paz),53.png,orig
6500.0,John Fischer,Secret Source,54.png,orig
1500.0,RICHARD WOODS,"Remnant Number 6, Inside The Bedroom Cupboard",55.png,orig
1500.0,Diane Sophrin,View Of Living Room,56.png,orig
42500.0,Cindy  Sherman,Madame de Pompadour (née Poisson),57.png,orig
10000.0,Hossein Edalatkhah,Belle Watling (Pink Whores) ,58.png,orig
15000.0,Russell Young,Elizabeth Taylor,59.png,orig
800.0,Deborah Brown,Sadie I,60.png,orig
1500.0,Stephen Lack,Red Citroen,61.png,orig
1500.0,Mary Armstrong,Tide Pool Shuffle,62.png,orig
800.0,June Redfern,Seal,63.png,orig
1275.0,Tony King,Untitled,64.png,orig
3000.0,Irene Mamiye,Rays,65.png,orig
7575.0,Kenzo Okada,Bamboo,66.png,orig
680.0,Jackie Battenfield,One Thousand Thoughts (Noon),67.png,orig
5000.0,Pierre Couzy,Vigilant Cheetah,68.png,orig
680.0,Suzanne Song,"Untitled, Replica V3",69.png,orig
800.0,Gregory Amenoff,Beacon Pink,70.png,orig
2000.0,Richard Bernstein,Candy Darling,71.png,orig
5000.0,Anne Appleby,Cottonwood,72.png,orig
1200.0,Grant Hacking,Looking for Game ,73.png,orig
680.0,Ed Albers,Disection Series,74.png,orig
1275.0,Porfirio Di Donna,Untitled #123,75.png,orig
5000.0,Matthias Dornfeld,Blumenszene,76.png,orig
1500.0,Ella Delyanis,"Study, Storm Over Bell Pond",77.png,orig
1500.0,Mel Pekarsky,Blue Hills,78.png,orig
3995.0,After Kota Ezawa,The Bohemians (After August Sander 1924),79.png,orig
1500.0,Billy Sullivan,Daisy On Carpet,80.png,orig
5500.0,LEWIS W. HINE,Selected Images of Workers ,81.png,orig
1275.0,David Hornung,Ladder / Triangle,82.png,orig
7000.0,Douglas Kirkland,"Audrey Hepburn, Paris",83.png,orig
27500.0,George Segal,Classical Still Life,84.png,orig
5000.0,Norman Parkinson,Cardin Hat Over Paris,85.png,orig
680.0,Jane Goldman,Window Reflection,86.png,orig
9000.0,Ed  Ruscha,Petro Plots: Hollywood/Vine,87.png,orig
10000.0,Wayne Thiebaud,Dark Canyon Bluffs,88.png,orig
800.0,T.L. Solien,Fragments Of Hope,89.png,orig
48000.0,Matt Mullican,Untitled (Cosmology Signs),90.png,orig
3000.0,Ruth Bernhard,Two Cows,91.png,orig
1000.0,Linda Besse,In the Grass - Cheetah,92.png,orig
14680.0,Mickalene Thomas,Madame Mama Bush in Black and White,93.png,orig
5000.0,Mimmo Paladino,California Suite No. 10,94.png,orig
6000.0,James A. Fetherolf,Agathlan (Monument Valley),95.png,orig
3000.0,Donald Sultan,"Fruit and Flowers, Roses",96.png,orig
35000.0,Jasper Johns,Regrets,97.png,orig
1275.0,Frances Barth,Untitled Drawing Nbr 201,98.png,orig
3000.0,Gillian Carnegie,Untitled ,99.png,orig
1500.0,Willie White,Untitled,100.png,orig
5000.0,Allan  McCollum,Lands of Shadow and Substance #21,101.png,orig
2000.0,Hiro Yokose,Untitled #3972,102.png,orig
680.0,Jackie Battenfield,One Thousand Thoughts (Dusk),103.png,orig
4000.0,Richard Bernstein,Muse (Pat Cleveland),104.png,orig
1275.0,Orly Genger,Untitled,105.png,orig
3000.0,John Fischer,Triangle #G.10,106.png,orig
1500.0,Sally Amster,The Cove and Beyond,107.png,orig
2250.0,"Patrick Caulfield, R.A.",For John Constable,108.png,orig
680.0,Tony Jannetti,The Third Emergence,109.png,orig
680.0,Antonio Frasconi,Cantos IV,110.png,orig
800.0,Konrad Cramer,Gas Station With Tree,111.png,orig
800.0,T.L. Solien,Fragments Of Hope,112.png,orig
1500.0,Alberto Morrocco,"Berthed Boats, Camogli",113.png,orig
680.0,Mary Jo Vath,Sunflower,114.png,orig
1500.0,Frederick Wardy,Untitled,115.png,orig
1500.0,Richard Woods,Woodblock Inlays 3 of 4,116.png,orig
2250.0,Takashi Murakami,Jellyfish Eyes - Black 3,117.png,orig
1275.0,Solien T.L.,Untitled,118.png,orig
800.0,Claire Van Vliet,Summer 2,119.png,orig
9500.0,Robert Indiana,"Seasons of Hope, Winter",120.png,orig
600.0,George Platt Lynes,Kate Lawson,121.png,orig
1500.0,Richard Haas,New York Central Building,122.png,orig
3000.0,Donald Sultan,"Fruit and Flowers, Calla Lillies",123.png,orig
15000.0,Russell Young,Elvis,124.png,orig
4000.0,Eric Fischl,"Two Bathers, Black and White",125.png,orig
800.0,Malcolm Morley,Erotic Fruitos,126.png,orig
20000.0,Hiroshi Sugimoto,Helicoid Minimal Surface,127.png,orig
9500.0,Paige Neuhauser,Great Jones #2 from Great Jones Alley Series,128.png,orig
1500.0,Jane Rosenberg,Upright Curves Number 3,129.png,orig
800.0,June Redfern,Lion,130.png,orig
9500.0,Robert Indiana,"Seasons of Hope, Spring",131.png,orig
800.0,Susan Hall,Solitary Oak,132.png,orig
800.0,Richard Mock,Alaskan Wildlife,133.png,orig
1500.0,Susan Wilmarth,Untitled,134.png,orig
6000.0,Michael Wesely,Square Meals,135.png,orig
15000.0,Ed  Ruscha,"New Wood, Old Wood",136.png,orig
1500.0,James Romberger,Third Street Garden,137.png,orig
24000.0,Brian Calvin,Beneath the Sun,138.png,orig
15000.0,Francesco Correggia,I Am Alone,139.png,orig
6000.0,Maurice Braun,Harbor at Cape Cod,140.png,orig
2000.0,John Fischer,Untitled,141.png,orig
5000.0,Grant Hacking,"Late Afternoon Shadows, Cheetah",142.png,orig
4500.0,Joe Goode,Untitled (028C),143.png,orig
2500.0,Mary Frank,Untitled,144.png,orig
1275.0,George T. Grant,Fall I,145.png,orig
3680.0,Charles Arnoldi,Skylar,146.png,orig
680.0,Mark Fox,Before,147.png,orig
1500.0,John Berens,Romantic Landscape,148.png,orig
3075.0,Dan Walsh,Manifold - Blue,149.png,orig
800.0,"John F. Simon, Jr.",Heat from the Core Raises Mountains and Opens Oceans,150.png,orig
15000.0,Kehinde Wiley,Sophie Arnould Study II,151.png,orig
800.0,Brett Groves,Correspondence 05 (Strike Gently),152.png,orig
35000.0,Sam  Francis,Untitled (sfm 83-471),153.png,orig
15000.0,Russell Young,Elizabeth Taylor Portrait,154.png,orig
1500.0,Ray Ciarrocchi,"Cove at Bremen, Maine",155.png,orig
800.0,Gregory Crane,A Brilliant Entrance,156.png,orig
1500.0,Karim Noureldin,"Untitled, 2000",157.png,orig
12000.0,Amedeo Simonetti,The Harem's Cobbler,158.png,orig
22000.0,Russell Young,Audrey Hepburn,159.png,orig
2500.0,Kim Gottlieb Walker,Jimi Plays Backstage at The Shrine,160.png,orig
50000.0,Ed  Ruscha,IF,161.png,orig
1275.0,Ralph Hilton,Untitled,162.png,orig
800.0,Steven Sorman,Unheard of III,163.png,orig
800.0,JOHN BELLANY,Untitled,164.png,orig
15000.0,Judy Chicago,Mary Queen of Scots,165.png,orig
2500.0,Dennis Hollingsworth,Oboja Negra,166.png,orig
800.0,Lizbeth Mitty,Nightride Overpass,167.png,orig
800.0,Donald Traver,Untitled (From Vessels and Voids),168.png,orig
1500.0,Eugene Charlton-Rafalsky,Untitled Landscape,169.png,orig
18000.0,Dashiell Manley,"Triangles (Front, Back, Blue Gels, Fingers)",170.png,orig
1500.0,Laura Newman,Biomorphic Furniture ,171.png,orig
17000.0,Charly Palmer,Tar Baby,172.png,orig
2000.0,Barbara Morgan,"Martha Graham,  Ekstasis",173.png,orig
3000.0,John Fischer,Triangle #NY,174.png,orig
800.0,Joe Tilson,Signatures,175.png,orig
4000.0,Lita Albuquerque,Island Universes I,176.png,orig
1275.0,David Roth,Metamorphising/Spectrum,177.png,orig
10000.0,William Wegman,"'Letters, Numbers, Punctuation'",178.png,orig
12000.0,Christine Wang,Leo Baby,179.png,orig
50000.0,Lillian Bassman,"Across the Restaurant at Le Grand Vefour, Barbara Mullen, Harper's Bazaar, Paris [Dress by Jacques Fath]",180.png,orig
595.0,Paul Manes,Untitled ,181.png,orig
5000.0,John Fischer,Escape,182.png,orig
4375.0,Hossein Edalatkhah,Entitled the Second,183.png,orig
8500.0,William Wegman,Enframed,184.png,orig
3000.0,Ruth Bernhard,Teapot,185.png,orig
15000.0,Carmen Herrera,Island,186.png,orig
75000.0,Biff Elrod,Ceiling Painting,187.png,orig
680.0,Charles Hewitt,Pink Basket,188.png,orig
5995.0,James A. Fetherolf,Untitled (Laguna),189.png,orig
995.0,Fred Mitchell,"Killyan Kill, Afternoon ",190.png,orig
800.0,Adrian Wiszniewski,Landscape,191.png,orig
1500.0,Angelo Ippolito,An American Collage X,192.png,orig
800.0,MICHAEL MAZUR ,Serpentine With Orchids,193.png,orig
2500.0,Louise Donegan,Requin Rouge,194.png,orig
1500.0,Richard Woods,Woodblock Inlays 1 of 4,195.png,orig
800.0,Frances Ashforth,"Horizon Series, Wind Series 1",196.png,orig
680.0,Chris Costan,MT 2011,197.png,orig
1500.0,George Atkinson,North Of Pawnee,198.png,orig
2500.0,Doris McCarthy,lampone,199.png,orig
680.0,DON NICE,Radish,200.png,orig
7000.0,Horst P. Horst,Nails In Technicolor,201.png,orig
30000.0,Danny Simmons,The Golden Path,202.png,orig
800.0,Kate Whiteford,Sitelines,203.png,orig
2500.0,Hiro Yokose,Untitled #3890,204.png,orig
800.0,Jack Beal,Spotted Salamander,205.png,orig
6000.0,Russell Young,Marilyn Crying (B+W),206.png,orig
22000.0,John Baldessari,Concrete Couples,207.png,orig
1275.0,Fred Gutzeit,Balls with Red,208.png,orig
2000.0,Dawn Mellor,Untitled ,209.png,orig
12000.0,John Baldessari,BLAH,210.png,orig
800.0,John Benton Harris,Brooklyn Heights NYC,211.png,orig
6995.0,Abelardo Morell,Camera Obscura Image of the Brooklyn Bridge in Bedroom,212.png,orig
3000.0,Kim Gottlieb Walker,"Carol King and James Taylor, London ",213.png,orig
1500.0,Bruce Mclean,Misdirected Concerns,214.png,orig
4000.0,John Shearer,Muhammed Ali (Training),215.png,orig
12500.0,Marina Abramović,Chair for the Spirit Chair for Man,216.png,orig
5000.0,Raymond Cauchetier,"'À bout de souffle' (Belmondo and Seberg, Champs Elysées, Paris)",217.png,orig
15500.0,Paul Lucien Maze,Oxford from Christ Church Pavilion,218.png,orig
650.0,David Levinthal,Barbie 64,219.png,orig
9000.0,Ed  Ruscha,Petro Plots: Laurel Canyon/Ventura Boulevard,220.png,orig
800.0,Bruce Porter,Flute Like Voices III,221.png,orig
1275.0,Denise Green,Becoming Subject,222.png,orig
680.0,David Fokos,Moonrise,223.png,orig
30000.0,Robin Rhode,Ballad to Ballet,224.png,orig
4500.0,Ernst Haas,"NYC, USA",225.png,orig
680.0,Yasuyuki Shibata,Satsuma,226.png,orig
1275.0,Orly Genger,Untitled,227.png,orig
1275.0,Nicholas Howey,Untitled,228.png,orig
1275.0,Michael Kenny,Working Drawing 1,229.png,orig
680.0,Gregory Amenoff,Sweet Home,230.png,orig
800.0,John Gundelfinger,Untitled No 2,231.png,orig
800.0,Bruce Mclean,Spider,232.png,orig
900.0,César,L'Empreinte Digitale (White),233.png,orig
7500.0,Terry Winters,Fate Map,234.png,orig
5000.0,Sterling Ruby,Carvings 4 ,235.png,orig
800.0,Forrest Moses,Untitled,236.png,orig
5000.0,Bernard Taurelle,Le Gouter ,237.png,orig
800.0,Antonio Frasconi,"Ice Crusher, Cart",238.png,orig
3000.0,Donald Sultan,"Fruit and Flowers III, Two Pears, a Lemon, and an Egg",239.png,orig
800.0,Cinda Sparling,"Untitled, 1988",240.png,orig
1275.0,Paul Huxley,Study Relating To Modus Operandi Series XIV 6,241.png,orig
800.0,Joe Tilson,Signatures,242.png,orig
42500.0,Cindy  Sherman,Madame de Pompadour (née Poisson),243.png,orig
800.0,"Peter Howson, O.B.E.",Stag,244.png,orig
15000.0,Kiki Smith,Fortune,245.png,orig
1500.0,Terence LaNoue,Deccan Suite #15,246.png,orig
800.0,Olivia Munroe,A Collection ,247.png,orig
800.0,T.L. Solien,Fragments Of Hope,248.png,orig
680.0,Dianna Frid,On The Modification Of Clouds III,249.png,orig
3500.0,Vernon Fisher,Objects in the Field,250.png,orig
12000.0,Francesco Correggia,Verso Sera,251.png,orig
995.0,Mariann Loveland-Miller,Day Box ,252.png,orig
800.0,JOHN WALKER,Sorrow,253.png,orig
5000.0,Mike Reesé,Greed Sweet Like Candy,254.png,orig
2500.0,Alexis Marguerite Teplin,Feverish Embarkation,255.png,orig
800.0,Stephanie Snider,Untitled (II),256.png,orig
800.0,Alan Herman,"Untitled, Pink Wall",257.png,orig
800.0,Joseph Soloman,Garden Scene,258.png,orig
7000.0,Tom Otterness,Elijah Cup,259.png,orig
800.0,Anne Ross,Passageway,260.png,orig
8000.0,Andrew Moore,"Salon Verde, Havana, Cuba, 1998",261.png,orig
800.0,Deborah Brown,Todd,262.png,orig
3000.0,Grant Hacking,Cheetah Family (Distant Rain) ,263.png,orig
2000.0,Jason Bereswill,Study for Saline Rocks,264.png,orig
32000.0,Agnieszka  Pilat,B70 Multiples,265.png,orig
2000.0,Henry Moore,"Les Poètes, Three Sculptural Forms",266.png,orig
10000.0,Anish Kapoor,Untitled 12,267.png,orig
1500.0,Chuck Webster,Untitled,268.png,orig
25000.0,Louise  Bourgeois,Crochet IV,269.png,orig
3000.0,Irene Mamiye,Rays,270.png,orig
2000.0,Matthew Brannon,Sick Whore 2006,271.png,orig
8000.0,Marc Riboud,"Yves Saint-Laurent, Paris",272.png,orig
71500.0,Larry Bell,New Test #1,273.png,orig
15000.0,Francesco Correggia,Nevermore,274.png,orig
800.0,Richard Haas,Bayard-Condict Building,275.png,orig
1500.0,Joseph Sweeney,University Of PA Boathouse,276.png,orig
3500.0,Marc Chagall,"The Angel, M.288",277.png,orig
5000.0,Sergei Bongart,"Untitled, Still Life with Watermelon",278.png,orig
1500.0,Leatrice Rose,Bananas,279.png,orig
800.0,Bruce Porter,Bend,280.png,orig
5995.0,James A. Fetherolf,Abandoned Barn,281.png,orig
1275.0,T. L. Solien,Blue Stem Land,282.png,orig
1500.0,Billy Sullivan,Palisades #4,283.png,orig
20000.0,Hiram Reynolds Bloomer,Yosemite Valley with Native American Encampment,284.png,orig
4000.0,Marcel Dzama,Here's a Fine Revolution,285.png,orig
3000.0,Donald Sultan,"Fruit and Flowers III, Yellow Peppers",286.png,orig
800.0,Grant Hacking,From Hal's Eye,287.png,orig
3000.0,Irene Mamiye,Rays,288.png,orig
4000.0,Zak Smith,Full-Spectrum Dominance in All Theaters 2007,289.png,orig
1000.0,Barbara Morgan,"Martha Graham, Ekstasis ",290.png,orig
10000.0,Biff Elrod,Side Glance Two ,291.png,orig
800.0,Linda Besse,Lion Cubs,292.png,orig
1000.0,Justine Kurland,Explorer,293.png,orig
16000.0,Russell Young,Marilyn Crying,294.png,orig
21000.0,Abelardo Morell,After Hitchcock: Psycho. House. Tent-Camera Image,295.png,orig
800.0,Adrianne Wortzel,Blue Gray ,296.png,orig
800.0,Stephen Neil Lorber,Chinese Baskets,297.png,orig
680.0,Jane Kent,Untitled,298.png,orig
30000.0,Danny Simmons,Traveling,299.png,orig
3000.0,Hayal Pozanti,Active Cell,300.png,orig
9500.0,Robert Indiana,"Seasons of Hope, Autumn",301.png,orig
800.0,Sandra Clark,Gamberaia #10,302.png,orig
1595.0,Mary Frank,Mating Gnus ,303.png,orig
2600.0,Henry Schouten,Hens and Chicks,304.png,orig
18000.0,Jonas Wood,Yellow and Orange Orchid Clipping,305.png,orig
1500.0,Richard Garrison,Untitled (Yellow),306.png,orig
25000.0,GEORGE LOVETT KINGSLAND MORRIS,"St. Etienne-du-Mont, No. 2",307.png,orig
3000.0,Pavel Tchelitchew,Drawings of the Opera,308.png,orig
1500.0,Christine Olsavsky,Humid Hearts,309.png,orig
1500.0,Joseph A. Salvatore,Book Of Jeremiah,310.png,orig
2500.0,Doris McCarthy,giallouno,311.png,orig
7500.0,Allison V. Smith,Refinery Road (one of three),312.png,orig
3000.0,Louis Fabien,Coupe et Fruits,313.png,orig
1500.0,Sandy Walker,Ocean Series I,314.png,orig
6000.0,Ruth Bernhard,Eagle/Edin,315.png,orig
800.0,Curtis Ripley,The Pink Vase,316.png,orig
20000.0,Hiroshi Sugimoto,Differential Bevel Gear,317.png,orig
1500.0,Meyer Vaisman,Leo,318.png,orig
2550.0,James Siena,"Taste The Houses, Twirly, Upside Down Devil",319.png,orig
800.0,Richard Haas,Grand Central Station,320.png,orig
800.0,Carl Roters,Two Trappers ,321.png,orig
1500.0,Marina Adams,Untitled 2,322.png,orig
7000.0,Chris Ofili,"Last Night, New Day",323.png,orig
3995.0,Kota Ezawa,Earth from Moon (After NASA 1969),324.png,orig
1500.0,John Andre Gundelfinger,Untitled No. 16,325.png,orig
8000.0,Diane Tuft,States of Matter,326.png,orig
6000.0,Mieke Marple,Exotic Garden (Flora),327.png,orig
3000.0,Donald Sultan,"Fruit and Flowers III, Pomegranates",328.png,orig
1275.0,Marischa Burckhardt,Cut Squares,329.png,orig
1500.0,David Storey,Living With The Lights On,330.png,orig
1500.0,Sandy Walker,Beach Pastel,331.png,orig
680.0,Stuart Allen,Untitled (Still Life),332.png,orig
800.0,David True,Fragile Wings,333.png,orig
2500.0,Ed  Ruscha,Bow-Tie Rivet (Bow-Tie Landscapes),334.png,orig
800.0,Gregg Saunders,Untitled Landscape,335.png,orig
800.0,MICHAEL MAZUR ,Wakeby Island,336.png,orig
680.0,Chris Costan,MT 2000,337.png,orig
3000.0,JOHN GIBSON,Small Ball,338.png,orig
800.0,Stephanie Snider,Untitled (I),339.png,orig
900.0,Philip Read,Cabbage Encompassing Earth,340.png,orig
1275.0,Michael Hardesty,Untitled,341.png,orig
1500.0,Donald Sanders,Night Venture,342.png,orig
6000.0,Grant Hacking,Zebras in the Hills,343.png,orig
680.0,David Fokos,Canal,344.png,orig
1500.0,Susan Laufer,Lifeline Drawing Series #28,345.png,orig
4000.0,Guillermo Kuitca,Coat Check,346.png,orig
6000.0,Tomma Abts,Untitled (small circles),347.png,orig
3495.0,Kota Ezawa,Conical Intersect (After Gordon Matta-Clark 1975),348.png,orig
1500.0,Christine McArthur,Strawberry Tots,349.png,orig
9500.0,Robert Indiana,"Seasons of Hope, Winter",350.png,orig
20000.0,Henry Gunderson,Down So Long It Looks Up,351.png,orig
3600.0,Ferdinand Bassot,Pretty in Pink,352.png,orig
2500.0,Doris McCarthy,Arancia,353.png,orig
2500.0,Kim Gottlieb Walker,"Bob Marley Bare Chest at Window, Jamaica ",354.png,orig
800.0,Mary Jo Vath,Lure,355.png,orig
2250.0,CARL VAN VECHTEN,Dizzy Gillespie,356.png,orig
13000.0,Russell Young,Elvis Pistol,357.png,orig
1275.0,Derek Hirst,"Sacred Mountain Series II, #5",358.png,orig
14000.0,KAWS,Man's Best Friend ,359.png,orig
680.0,Reed Anderson,Bad Neighbors (Red),360.png,orig
18000.0,Tom Otterness,Seder Plate,361.png,orig
2000.0,Sophie Von Hellermann,Untitled ,362.png,orig
12000.0,Cindy  Sherman,Madame de Pompadour (née Poisson),363.png,orig
1500.0,Debra Bermingham,Wedding Gift ,364.png,orig
2000.0,Jutta Koether,Untitled,365.png,orig
1840.0,Hayal Pozanti,A Sacred Canopy,366.png,orig
800.0,Stuart Nielsen,Shell/Butterfly,367.png,orig
3000.0,John Fischer,Triangle #NY.6,368.png,orig
1500.0,Michele Boll,Hess,369.png,orig
7000.0,Al Held,Fly Away,370.png,orig
800.0,Kirsten Stolle,Diego I,371.png,orig
2250.0,Takashi Murakami,Jellyfish Eyes - White 1,372.png,orig
22500.0,Gustave Blache III,Natalie Scrape Cleaning,373.png,orig
40000.0,Frank Schroeder,Endless Summer in the Garden,374.png,orig
2000.0,Ruth Bernhard,Shell and Driftwood,375.png,orig
10000.0,James Welling,New Abstraction No. 59 (Red Stripe),376.png,orig
35000.0,Ralph Wickiser,Sunlight,377.jpeg,artsy
65668.48559240575,Alberto Biasi,Si pavoneggia....,378.jpeg,artsy
5999.999999999997,Santiago Quesnel,Debería haberme ido pero me quedé,379.jpeg,artsy
499.99999999999994,Ayisha Harvey,Bitter,380.jpeg,artsy
60000.00000000003,Ben Aronson,Taxis on Madison,381.jpeg,artsy
14500.000000000013,Curtis Ripley,Metropolis,382.jpeg,artsy
13874.999999999995,Natascha Schmitten,Unda II,383.jpeg,artsy
1998.0,Hideaki Yamanobe,Tone Element No. 56,384.jpeg,artsy
5999.999999999999,Ioana Sisea,Draw me like one of your French girls 4,385.jpeg,artsy
14361.406616345075,Dan Alva,Espionage,386.jpeg,artsy
5999.999999999997,Clay Parker,Monster Bunny,387.jpeg,artsy
8500.000000000002,Ben Aronson,White Rose in Glass,388.jpeg,artsy
15309.310892394864,Jan Kaláb,Burning Wave 522,389.jpeg,artsy
183150.0000000002,Simon Hantaï,Sans titre,390.jpeg,artsy
2800.0000000000014,Rocío Sáenz,Heroínas (Historias de pandemia)  (Heroines (Pandemic Stories)),391.jpeg,artsy
3937.4999999999995,John Hammond,After the Rain  The Promenade  Cheltenham ,392.jpeg,artsy
4999.999999999999,Heino Schmid,Bone,393.jpeg,artsy
8874.119674649426,Hilary Doyle,Autocumuolous Clouds warn a Storm Early Spring II,394.jpeg,artsy
30000.00000000001,Hiro Yokose,Untitled (#5186),395.jpeg,artsy
11100.000000000002,Natascha Schmitten,Syn,396.jpeg,artsy
3773.999999999998,Meriem Delacroix,Violin #2,397.jpeg,artsy
34641.01615137756,SEEN,Dick Tracy,398.jpeg,artsy
3687.5,Abayomi Joseph,Euphoric state of mind,399.jpeg,artsy
4400.0,Ky Anderson,Dark Garden,400.jpeg,artsy
1954.0000000000002,Israel Vazquez,El amor no entra partout,401.jpeg,artsy
1500.0000000000005,DEB (b. 1979),weak in courage,402.jpeg,artsy
3449.9999999999986,Lisa Fellerson,Bahia,403.jpeg,artsy
4999.999999999999,Paul P.,Untitled Portrait,404.jpeg,artsy
5217.000000000002,Marek Okrassa,Balcony. Mobile,405.jpeg,artsy
396862.6966596887,Takashi Murakami,Lying on the Grasslands - Jet Black,406.jpeg,artsy
2220.0000000000005,Jomary Bierenbroodspot,Day dream,407.jpeg,artsy
11249.947199876104,Manolo Ballesteros,9 Blue And Black Modules,408.jpeg,artsy
8366.600265340756,Sandra Chevrier,La Cage quand le roi de la nuit la berce tendrement,409.jpeg,artsy
83124.99999999999,Karel Appel,Untitled (Personnage),410.jpeg,artsy
3219.0000000000005,Pau Escat,Untitled,411.jpeg,artsy
205350.0,Alexej von Jawlensky,Große Meditation: Bevor es Nacht wird (Large Meditation: before Night comes),412.jpeg,artsy
24000.00000000002,David Ligare,Candles and Flowers ,413.jpeg,artsy
16000.00000000001,Jeremy Mann,Mother ,414.jpeg,artsy
524.9999999999999,Modern Toss,Major Face Quill,415.jpeg,artsy
12765.000000000005,Erró,hot chocolate,416.jpeg,artsy
24999.999999999993,Mimi Lauter,Untitled,417.jpeg,artsy
200000.00000000003,Vivian Springford,Yellow and Rose #50 (Expansionist Series),418.jpeg,artsy
15000.000000000004,SEEN,Spaceship,419.jpeg,artsy
12006.485747295092,Tilo Baumgärtel,untitled,420.jpeg,artsy
4894.999999999998,Robert Lemay,The Madonna,421.jpeg,artsy
25695.81678016873,Jules Olitski,Queen of Night,422.jpeg,artsy
4999.999999999999,DEB (b. 1979),Her ways were free,423.jpeg,artsy
166500.00000000006,Louis Soutter,Tête du Christ couronné ,424.jpeg,artsy
24000.00000000002,Sonia Delaunay,Untitled (“Salon de Enfance”),425.jpeg,artsy
14662.591626312174,Ilidio Candja Candja,Untitled,426.jpeg,artsy
18499.999999999996,Claire Fontaine,The rapper Jay Z,427.jpeg,artsy
7000.000000000002,Thelma Appel,Sea Garden IV,428.jpeg,artsy
4000.000000000001,Deborah Zlotsky,Madonna and child (Bigfoot),429.jpeg,artsy
155400.0000000001,Aboudia,Baramôgô Yêrêyêrê,430.jpeg,artsy
2220.0000000000005,Leonie Schneider,Hank Halibut,431.jpeg,artsy
8000.000000000004,Brianna Rose Brooks,Fertile void,432.jpeg,artsy
42426.40687119287,Chris Ofili,Nude Study in Blue,433.jpeg,artsy
4874.999999999999,Stephen Forbes,Chill,434.jpeg,artsy
7552.483035399681,Danny Gretscher,Analogue Flowers #2 High Life,435.jpeg,artsy
49999.99999999999,Kayla Mahaffey,The Sweeter The Juice,436.jpeg,artsy
24999.999999999993,Olive Ayhens,The Waves are Coming,437.jpeg,artsy
4661.999999999999,Yuki Nishimoto,Saizoh,438.jpeg,artsy
